Product Name,Specifications,Price,MRP,Image URL
"SENS Pikaso 140 cm (55 inch) Ultra HD (4K) LED Smart Android TV with FluroSENS Panel, Dolby Audio and ...","['Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Comprehensive Warranty on Product and Additional 1 Year Warranty on Panel']","₹29,999","₹56,790",https://rukminim1.flixcart.com/image/312/312/xif0q/television/h/l/5/-original-imagpya9ctr5nwvu.jpeg?q=70
Thomson Alpha 80 cm (32 inch) HD Ready LED Smart Linux TV with 30 W Sound Output & Bezel-Less Design,"['Operating System: Linux', 'HD Ready 1366 x 768 Pixels', '1 Year Warranty on Product and 6 Months on Accessories']","₹8,999","₹14,999",https://rukminim1.flixcart.com/image/312/312/l51d30w0/television/1/k/j/-original-imagfsyu8nrz5gzg.jpeg?q=70
"Acer I Series 80 cm (32 inch) HD Ready LED Smart Android TV with Android 11, 1.5GB RAM (2022 Model)","['Operating System: Android', 'HD Ready 1366 x 768 Pixels', '1 Year Warranty']","₹11,999","₹19,990",https://rukminim1.flixcart.com/image/312/312/xif0q/television/2/3/k/-original-imagkcdaszup3fac.jpeg?q=70
BeethoSOL 80 cm (32 inch) HD Ready LED TV,"['HD Ready 1366 x 768 Pixels', '1 Year Warranty']","₹7,199","₹17,000",https://rukminim1.flixcart.com/image/312/312/xif0q/television/v/e/m/-original-imaghy7kt67kxvhq.jpeg?q=70
Thomson 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Dolby Vision & Dolby Atmos,"['Operating System: Google TV', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Warranty on Product and 6 Months Warranty on Accessories']","₹22,999","₹35,999",https://rukminim1.flixcart.com/image/312/312/xif0q/television/s/s/w/43opmaxgt9010-thomson-original-imagpwdudmsuvkwx.jpeg?q=70
realme 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Handsfree Voice Search and Dolby Visio...,"['Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Warranty On TV and 2 Years Warranty On The Display Panel']","₹23,799","₹32,999",https://rukminim1.flixcart.com/image/312/312/xif0q/television/h/0/x/-original-imaghgphu8kjtgvs.jpeg?q=70
realme 100.3 cm (40 inch) Full HD LED Smart Android TV with Android 11 - 2022 Model,"['Operating System: Android', 'Full HD 1920 x 1080 Pixels', '1 Year Domestic Warranty on Product and 2 Years on Panel']","₹17,999","₹31,999",https://rukminim1.flixcart.com/image/312/312/l3uhvgw0/television/x/q/x/-original-imageuxkcg2fbdkg.jpeg?q=70
OnePlus Y1 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio,"['Operating System: Android', 'HD Ready 1366 x 768 Pixels', '1 Year Comprehensive Warranty and Additional 1 Year on Panel Provided By the Manufacturer From Date of Purchase']","₹14,999","₹19,999",https://rukminim1.flixcart.com/image/312/312/kqidx8w0/television/m/1/v/32ha0a00-oneplus-original-imag4gy8yezxdhen.jpeg?q=70
"MOTOROLA Envision 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Bezel-Less Design, Google V...","['Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Years Warranty']","₹21,999","₹40,000",https://rukminim1.flixcart.com/image/312/312/xif0q/television/m/k/7/-original-imagpa2xyh37jfh9.jpeg?q=70
BeethoSOL 60 cm (24 inch) HD Ready LED TV,"['HD Ready 1366 x 768 Pixels', '1 Year Warranty']","₹5,649","₹15,000",https://rukminim1.flixcart.com/image/312/312/xif0q/television/l/l/x/-original-imaghy7kyyr9pnrr.jpeg?q=70
