Product Name,Specifications,Price,MRP,Image URL,Rating
Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1.5 Ton 3 Star Split Inverter ...,"['Power Consumption: 1002.72 kWh', 'Room Size: 111 to 150 sqft', '1 Year Comprehensive Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor']","₹36,490","₹55,400",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/q/l/z/-original-imagn9twufudm57a.jpeg?q=70,4.2
Godrej Turbo Mode 2023 Model 1.5 Ton 3 Star Window with Anti Corrosive Blue Fin AC  - White,"['Power Consumption: 1216.12 W', 'Room Size: 111 to 150 sqft', '1 Year Comprehensive Warranty on AC and 5 Years Warranty on Compressor']","₹26,990","₹41,900",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/y/v/r/-original-imagzhtphsxgvmbr.jpeg?q=70,3.9
LG AI Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split AI Dual Inverter Plasmaster (Ionizer)...,"['Power Consumption: 685.26 kWh', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor with Gas Charging']","₹46,990","₹81,990",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/o/m/q/-original-imaghjhyrkphgycz.jpeg?q=70,4.2
"LG AI Convertible 6-in-1 Cooling 2023 Model 2 Ton 3 Star Split AI Dual Inverter 4 Way Swing, HD Filter...","['Power Consumption: 1232.78 kWh', 'Room Size: 151 to 200 sqft', '1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor with Gas Charging']","₹54,990","₹85,990",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/w/j/l/-original-imagmpsyat5btmhh.jpeg?q=70,4.1
Voltas 1.5 Ton 5 Star Split Inverter AC  - White,"['Power Consumption: 751.28 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 10 Years Warranty on Compressor']","₹39,990","₹75,990",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/2/7/z/-original-imagkqs8qrsyxmbu.jpeg?q=70,4.2
"LG AI Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split AI Dual Inverter 4 Way Swing, HD Filt...","['Power Consumption: 685.26 kWh', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor with Gas Charging']","₹44,490","₹75,990",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/o/c/n/-original-imagmptfzaejnzwd.jpeg?q=70,4.1
Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1 Ton 4 Star Split Inverter wi...,"['Power Consumption: 601.5 kWh', 'Room Size: 90 sqft or Below', '1 Year Comprehensive Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor']","₹35,990","₹50,600",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/7/p/v/-original-imagmm9amhhwymeg.jpeg?q=70,4.2
Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 2 Ton 4 Star Split Inverter wi...,"['Power Consumption: 1075.57 kWh', 'Room Size: 151 to 200 sqft', '1 Year Comprehensive Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor']","₹54,990","₹77,150",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/e/b/m/-original-imagmxwtsdhjmcuw.jpeg?q=70,4.2
"IFB FastCool Convertible 8-in-1 Cooling, 2023 Model 1.5 Ton 5 Star Split Inverter 7 Stage Air Treatmen...","['Power Consumption: 798.18 kWh', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product, 5 Years Warranty on Outdoor Unit PCB and 10 Years Warranty on Compressor']","₹43,990","₹58,990",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/p/n/c/-original-imagzbbhmhpuak4g.jpeg?q=70,4.2
Lloyd 1.5 Ton 4 Star Split Inverter AC  - White,"['Power Consumption: 863.15 W', 'Room Size: 111 to 150 sqft', '1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor']","₹36,499","₹63,990",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/z/p/8/-original-imagmfp6uy9fdsaf.jpeg?q=70,4.2
"Haier Frost Self-Clean 2023 Model 1.5 Ton 5 Star Split Inverter Intelli Convertible 7-in-1, Cooling at...","['Power Consumption: 1240 W', 'Room Size: 111 to 150 sqft', '5 Years Comprehensive Warranty and 12 Years Compressor Warranty']","₹40,499","₹71,490",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/r/b/w/-original-imagpfkp9ddsz3qd.jpeg?q=70,4
Whirlpool Convertible 4-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter 6th Sense Technology AC ...,"['Power Consumption: 963.21 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 5 Years Warranty on Compressor']","₹32,790","₹62,000",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/w/j/r/-original-imagnc4gusgenagd.jpeg?q=70,3.9
Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1.5 Ton 5 Star Split Inverter ...,"['Power Consumption: 774.19 kWh', 'Room Size: 111 to 150 sqft', '1 Year Comprehensive Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor']","₹44,490","₹63,400",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/b/j/y/-original-imagmxwtwz65b9hh.jpeg?q=70,4.2
Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1 Ton 5 Star Split Inverter wi...,"['Power Consumption: 523.15 kWh', 'Room Size: 90 sqft or Below', '1 Year Comprehensive Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor']","₹37,990","₹54,600",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/o/g/e/-original-imagmxwtg2t6ryjp.jpeg?q=70,4.2
Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 4 Star Split Inverter with 4 Way Swing and Tri Fi...,"['Power Consumption: 1415 W', 'Room Size: 111 to 150 sqft', '10 years warranty on Inverter compressor,5 years warranty on PCB &1 year comprehensive warranty.']","₹34,490","₹49,990",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/q/2/y/-original-imagz59tfm2hgr2m.jpeg?q=70,4
MarQ by Flipkart 2023 Range 1.5 Ton 3 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technolog...,"['Power Consumption: 1620 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 10 Years Warranty on Compressor']","₹31,499","₹52,999",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/p/n/b/-original-imagzcecugsygdst.jpeg?q=70,4
Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1.5 Ton 4 Star Split Inverter ...,"['Power Consumption: 876.76 kWh', 'Room Size: 111 to 150 sqft', '1 Year Comprehensive Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor']","₹40,490","₹59,400",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/n/h/p/-original-imagmxwtz9kspfwu.jpeg?q=70,4.2
Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1 Ton 4 Star Split Inverter wi...,"['Power Consumption: 601.5 kWh', 'Room Size: 90 sqft or Below', '1 Year Comprehensive Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor']","₹35,990","₹50,600",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/7/p/v/-original-imagmm9amhhwymeg.jpeg?q=70,4.2
"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.2 Ton 3 Star Split Inverter Multi Sensors, Stabalize...","['Power Consumption: 865.48 W', 'Room Size: 91 to 110 sqft', '1 Year Warranty on Product and 10 Years Warranty on Compressor from Blue Star']","₹33,990","₹57,500",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/w/i/x/-original-imagq54j45sxhsmw.jpeg?q=70,4.2
"CARRIER Flexicool Convertible 4-in-1 Cooling 1.2 Ton 5 Star Split Inverter Auto Cleanser, Dual Filtrat...","['Power Consumption: 1050 W', 'Room Size: 91 to 110 sqft', '1 Year warranty on Product, 5 (1+4) Years on PCB and 10 (1+9) Years on Compressor']","₹35,999","₹64,590",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/h/p/b/-original-imagbwxswhdh3ym9.jpeg?q=70,4.4
Voltas 1.5 Ton 5 Star Split Inverter AC  - White,"['Power Consumption: 759.07 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 10 Years Warranty on Compressor']","₹39,999","₹75,990",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/d/e/0/-original-imagkqs8jsqfjunz.jpeg?q=70,4.1
