Product Name,Specifications,Price,MRP,Image URL,Rating
"POCO C51 (Power Black, 64 GB)","['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.56 cm (6.52 inch) HD+ Display', '8MP Dual Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Helio G36 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories']","₹6,999","₹9,999",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/o/t/a/c51-mzb0e6din-poco-original-imagzdzzraqzsrzc.jpeg?q=70,4.3
"POCO C50 (Royal Blue, 32 GB)","['3 GB RAM | 32 GB ROM | Expandable Upto 512 GB', '16.56 cm (6.52 inch) HD+ Display', '8MP Dual Camera | 5MP Front Camera', '5000 mAh Lithium Polymer Battery', 'Mediatek Helio A22 Processor, Upto 2.0 GHz Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']","₹6,199","₹9,999",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/t/a/x/-original-imaghmtch6qfmfxg.jpeg?q=70,4
"Infinix SMART 7 (Night Black, 64 GB)","['4 GB RAM | 64 GB ROM | Expandable Upto 2 TB', '16.76 cm (6.6 inch) HD+ Display', '13MP + AI Lens | 5MP Front Camera', '6000 mAh Battery', 'Unisoc Spreadtrum SC9863A1 Processor', '1 Year on Handset and 6 Months on Accessories']","₹7,299","₹9,999",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/e/r/a/-original-imagna3qqyay2gaf.jpeg?q=70,4.3
"Infinix Smart 7 HD (Green Apple, 64 GB)","['2 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) HD+ Display', '8MP + AI Lens | 5MP Front Camera', '5000 mAh Battery', 'Spreadtrum \nSC9863A1 Processor', '1 Year on Handset and 6 Months on Accessories']","₹6,199","₹7,999",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/o/v/-original-imagp27avqpgejaf.jpeg?q=70,4.4
"Infinix HOT 30i (Marigold, 64 GB)","['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) HD+ Display', '50MP + AI Lens | 5MP Front Camera', '5000 mAh Battery', 'G37 Processor', '1 Year on Handset and 6 Months on Accessories']","₹7,999","₹9,999",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/d/w/x/hot-30i-x669c-infinix-original-imagzyfawjmmcgpg.jpeg?q=70,4.3
"vivo T2x 5G (Aurora Gold, 128 GB)","['6 GB RAM | 128 GB ROM', '16.71 cm (6.58 inch) Full HD+ Display', '50MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Dimensity 6020 Processor', '1 Year of Device & 6 Months for Inbox Accessories']","₹13,999","₹18,999",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70,4.4
"vivo T2x 5G (Aurora Gold, 128 GB)","['8 GB RAM | 128 GB ROM', '16.71 cm (6.58 inch) Full HD+ Display', '50MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Dimensity 6020 Processor', '1 Year of Device & 6 Months for Inbox Accessories']","₹15,999","₹20,999",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70,4.3
"vivo T2x 5G (Glimmer Black, 128 GB)","['4 GB RAM | 128 GB ROM', '16.71 cm (6.58 inch) Full HD+ Display', '50MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Dimensity 6020 Processor', '1 Year of Device & 6 Months for Inbox Accessories']","₹12,999","₹17,999",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70,4.5
"Infinix HOT 30i (Marigold, 128 GB)","['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) HD+ Display', '50MP + AI Lens | 5MP Front Camera', '5000 mAh Battery', 'G37 Processor', '1 Year on Handset and 6 Months on Accessories']","₹8,999","₹11,999",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/d/w/x/hot-30i-x669c-infinix-original-imagzyfawjmmcgpg.jpeg?q=70,4.3
"POCO C55 (Power Black, 64 GB)","['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '17.04 cm (6.71 inch) HD+ Display', '50MP Dual Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Mediatek Helio G85 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']","₹7,749","₹11,999",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/b/y/g/-original-imagnfzybft7wzmp.jpeg?q=70,4.2
